Source,ID_Type,ID,Title,Abstract,Authors,Journal,Year,Volume,Issue,Pages,URL,Publication_Type,Study_Type,MeSH_Terms,Keywords,Open_Access,PMC_Link,PDF_Link,Country,Language,Date_Online,Date_Publication,Citations_Scholar,Funding,Conflict_Interest,DOI,Included,Screening_Reason
PubMed,PMID/DOI,36895910,The development of neurocritical care in China from the perspective of evaluation and treatment of critical neurological diseases.,"To understand the varieties, evaluation, treatment, and prognosis of severe neurological diseases using the third NCU survey in China. A cross-sectional questionnaire study. The study was completed in three main steps: filling in the questionnaire, sorting out the survey data, and analyzing the survey data. Of 206 NCUs, 165 (80%) provided relatively complete information. It was estimated that 96,201 patients with severe neurological diseases were diagnosed and treated throughout the year, with an average fatality rate of 4.1%. The most prevalent severe neurological disease was cerebrovascular disease (55.2%). The most prevalent comorbidity was hypertension (56.7%). The most prevalent complication was hypoproteinemia (24.2%). The most common nosocomial infection was hospital-acquired pneumonia (10.6%). The GCS, APACHE II, EEG, and TCD were the most commonly used (62.4-95.2%). The implementation rate of the five nursing evaluation techniques reached 55.8-90.9%. Routinely raising the head of the bed by 30°, endotracheal intubation and central venous catheterization were the mostprevalent treatment strategies (97.6, 94.5, and 90.3%, respectively). Traditional tracheotomy, invasive mechanical ventilation and nasogastric tube feeding (75.8, 95.8, and 95.8%, respectively) were more common than percutaneous tracheotomy, non-invasive mechanical ventilation and nasogastric tube insertion (57.6, 57.6, and 66.7%, respectively). Body surface hypothermia brain protection technology was more commonly used than intravascular hypothermia technology (67.3 > 6.1%). The rates of minimally invasive hematoma removal and ventricular puncture were only 40.0 and 45.5%, respectively. In addition to traditional recognized basic life assessment and support technology, it is necessary to the use of promote specialized technology for neurological diseases, according to the characteristics of critical neurological diseases.",Su Yingying; Teng Junfang; Tian Fei; Jing Jing; Huang Huijin; Pan Suyue; Jiang Wen; Wang Furong; Zhang Le; Zhang Yan; Zhang Meng; Liu Liping; Cao Jie; Hu Huaiqiang; Li Wei; Liang Cheng; Ma Liansheng; Meng Xuegang; Tian Linyu; Wang Changqing; Wang Lihua; Wang Yan; Wang Zhenhai; Wang Zhiqiang; Xie Zunchun; You Mingyao; Yuan Jun; Zeng Chaosheng; Zeng Li; Zhang Lei; Zhang Xin; Zhang Yongwei; Zhao Bin; Zhou Saijun; Zhou Zhonghe,Frontiers in neurology,2023.0,14,,1114204,https://pubmed.ncbi.nlm.nih.gov/36895910/,Journal Article,,,,,,,,eng,,,,,,,False,"The paper focuses on clinical outcomes (e.g., prevalence of diseases, treatment strategies, mortality rates) without addressing family members' perceptions, experiences, or psychological impacts as required by inclusion criteria."
PubMed,PMID/DOI,36754950,Depression Negatively Impacts Dyadic Quality of Life Following Neuro-ICU Admission: A Prospective Study of Cognitively Intact Patients and Caregivers.,"Admission to a neurological intensive care unit (Neuro-ICU) can increase risk for depressive and anxiety symptoms for both patients and caregivers. To better understand the long-term mental health impact of a Neuro-ICU admission, we examined the dyadic interdependence between depression and anxiety at Neuro-ICU admission with 3-month quality of life (QoL) for patients and caregivers in a longitudinal, observational cohort study. We assessed depressive and anxiety symptoms (Hospital Anxiety and Depression Scale; HADS) reported by neurologically intact patients (n = 72) and their caregivers (n = 72) within 2 weeks of Neuro-ICU admission (baseline) and 3-months post-discharge (follow-up). We examined the longitudinal association between dyadic depression and anxiety at Neuro-ICU admission and 3-month QoL (World Health Organization; QOL-BREF) across four domains (Physical, Psychological, Social relationships, and Environmental QoL) in separate actor-partner interdependence models (APIM) for patients and caregivers. In the overall models, patients' own baseline depression levels were negatively associated with their own 3-month QoL in all domains (β =  - 0.53 to - 0.64, p < 0.001), and for caregivers, only in the psychological (β =  - 0.73, p < .001) and social relationships (β =  - 0.56, p < .001) domains. No actor effects were found for one's own baseline anxiety impacting one's own 3-month QoL. Partner effects for one's own depression were significant for caregivers on patients' 3-month psychological (β =  - 0.26, p < .02) and environmental (β =  - 0.29, p < .03) QoL, as well as for patients on caregiver's 3-month psychological QoL (β = 0.25, p < .02). No partner effects were significant in association with baseline anxiety and 3-month QoL in both patients and caregivers. Neuro-ICU patients' and caregivers' baseline depression has significant negative impacts on their own long-term QoL. Caregivers demonstrate significant negative impacts on patient long-term QoL in domains related to emotional distress and caregiver burden. Early identification of mental health symptoms, especially depression, during Neuro-ICU admission may provide an intervention opportunity to improve QoL post-discharge for both dyad members.",Quinn Patricia A; Mace Ryan A; Presciutti Alex; Vranceanu Ana-Maria,International journal of behavioral medicine,2024.0,31,1,97-108,https://pubmed.ncbi.nlm.nih.gov/36754950/,Observational Study; Journal Article,,Humans; Depression; Caregivers; Quality of Life; Prospective Studies; Aftercare; Patient Discharge; Intensive Care Units,,,,,,eng,,,,,,,True,"The paper focuses on depression's impact on dyadic quality of life in Neuro-ICU patients and caregivers, meeting inclusion criteria for adult population, family perspective, psychological focus, and English language. The study type is quantitative with longitudinal data."
PubMed,PMID/DOI,36399869,Cannabidiol in refractory status epilepticus: A review of clinical experiences.,"To summarize and evaluate clinical experiences with refractory status epilepticus in which cannabidiol (CBD) was utilized for cessation of seizure activity. A comprehensive literature review was performed on PubMED, MEDLINE, Scopus, and CINAHL between May - June 2022 with the assistance of a medical reference librarian using the following search terms: ""Cannabidiol"" [MAJR], ""Status Epilepticus"" [MAJR], ""New-Onset Refractory Status Epilepticus"", and ""cannabidiol."" Reports that provided dosing regimens and patient outcomes were included. Thirty-two articles were screened. Five articles were selected for inclusion in this review and detailed the clinical courses of 11 patients. Five of the 11 patients received CBD during the chronic epilepsy stage, while the remaining 6 received it during a period of acute status epilepticus. Patients were trialed on an average of 9 anti-epileptic drugs prior to CBD administration, after which 9 of the 11 patients experienced a reduction of seizure activity. Dosing of CBD ranged between 5-25 mg/kg/day and was titrated based on patient response to therapy. Adverse effects were relatively benign and were generally limited to gastrointestinal discomfort, reported after seizure cessation. CBD may provide a potentially efficacious and safe management strategy in refractory status epilepticus, including patients with new-onset refractory status epilepticus and febrile infection-related epilepsy syndrome. A potential for drug-drug interactions between CBD and anti-epileptic drugs warrants judicious monitoring. Additional research is necessary to determine a definitive dosing strategy for this agent.",Duda Joanna; Reinert Justin P,Seizure,2022.0,103,,115-119,https://pubmed.ncbi.nlm.nih.gov/36399869/,Journal Article; Review,,Humans; Cannabidiol; Status Epilepticus; Seizures; Drug Resistant Epilepsy; Encephalitis,,,,,,eng,,,,,,,False,"The paper focuses on clinical outcomes (seizure reduction, adverse effects) of cannabidiol in status epilepticus without addressing family members' perceptions, experiences, or psychological impacts, which is required by inclusion criteria."
PubMed,PMID/DOI,36260235,Current state of high-fidelity multimodal monitoring in traumatic brain injury.,"Multimodality monitoring of patients with severe traumatic brain injury (TBI) is primarily performed in neuro-critical care units to prevent secondary harmful brain insults and facilitate patient recovery. Several metrics are commonly monitored using both invasive and non-invasive techniques. The latest Brain Trauma Foundation guidelines from 2016 provide recommendations and thresholds for some of these. Still, high-level evidence for several metrics and thresholds is lacking. Regarding invasive brain monitoring, intracranial pressure (ICP) forms the cornerstone, and pressures above 22 mmHg should be avoided. From ICP, cerebral perfusion pressure (CPP) (mean arterial pressure (MAP)-ICP) and pressure reactivity index (PRx) (a correlation between slow waves MAP and ICP as a surrogate for cerebrovascular reactivity) may be derived. In terms of regional monitoring, partial brain tissue oxygen pressure (PbtO<sub>2</sub>) is commonly used, and phase 3 studies are currently ongoing to determine its added effect to outcome together with ICP monitoring. Cerebral microdialysis (CMD) is another regional invasive modality to measure substances in the brain extracellular fluid. International consortiums have suggested thresholds and management strategies, in spite of lacking high-level evidence. Although invasive monitoring is generally safe, iatrogenic hemorrhages are reported in about 10% of cases, but these probably do not significantly affect long-term outcome. Non-invasive monitoring is relatively recent in the field of TBI care, and research is usually from single-center retrospective experiences. Near-infrared spectrometry (NIRS) measuring regional tissue saturation has been shown to be associated with outcome. Transcranial doppler (TCD) has several tentative utilities in TBI like measuring ICP and detecting vasospasm. Furthermore, serial sampling of biomarkers of brain injury in the blood can be used to detect secondary brain injury development. In multimodal monitoring, the most important aspect is data interpretation, which requires knowledge of each metric's strengths and limitations. Combinations of several modalities might make it possible to discern specific pathologic states suitable for treatment. However, the cost-benefit should be considered as the incremental benefit of adding several metrics has a low level of evidence, thus warranting additional research.",Lindblad Caroline; Raj Rahul; Zeiler Frederick A; Thelin Eric P,Acta neurochirurgica,2022.0,164,12,3091-3100,https://pubmed.ncbi.nlm.nih.gov/36260235/,"Journal Article; Review; Research Support, Non-U.S. Gov't",,"Humans; Retrospective Studies; Intracranial Pressure; Brain Injuries, Traumatic; Cerebrovascular Circulation; Brain Injuries; Monitoring, Physiologic",,,,,,eng,,,,,,,False,"The paper focuses on medical monitoring techniques for traumatic brain injury without addressing family perspectives, psychological impacts, or caregiver experiences. It lacks any mention of family members' perceptions, satisfaction, anxiety, or related outcomes."
PubMed,PMID/DOI,36039997,Family surrogate decision-makers' perspectives in decision-making of patients with disorders of consciousness.,"To explore and describe the experience of decision-making for patients with disorders of consciousness (DOC) from the perspectives of family surrogate decision-makers. A total of 21 face-to-face interviews with family surrogate decision-makers from a tertiary hospital in Shanghai, China were conducted from January 2021 to February 2021. Thematic analysis was used for data analysis. Four main themes were identified and were included in this study: (1) a tough choice between life and dignity, (2) a major responsibility for patient's voice, (3) complex considerations between ethics and morals, and (4) the importance of realistic basis. The surrogate decision-making of DOC patients in China has been affected by the Chinese cultural context and several practical roots. And the family surrogate decision-makers shared their experiences of trade-offs during the decision-making process. Moreover, family surrogate decision-makers realized their serious responsibility to make a decision that would be in the best interest of DOC patients.",Chen Jiali; Zeng Li; Liu Xianliang; Wu Qian; Jiang Jinxia; Shi Yan,Neuropsychological rehabilitation,2023.0,33,9,1582-1597,https://pubmed.ncbi.nlm.nih.gov/36039997/,Journal Article,,Humans; Decision Making; Consciousness Disorders; China; Family,,,,,,eng,,,,,,,True,"The study focuses on family surrogate decision-makers for patients with disorders of consciousness (DOC), aligning with the inclusion criteria for adult populations, family perspectives, and qualitative methodology. The themes addressed (e.g., ethical considerations, psychological burden) match the focus on subjective experiences, and the study is conducted in English."
PubMed,PMID/DOI,35921191,"Inpatient virtual shared medical appointments to improve health literacy, increase patient self-efficacy, and reduce provider burnout in acute cerebrovascular pathology patients and their caregivers: a pilot study.","Admission to the hospital for an acute cerebrovascular condition such as stroke or brain hemorrhage can be a traumatic and disorienting experience for patients and their family members. The COVID-19 pandemic has further intensified this experience in addition to exacerbating clinician and resident burnout. To ameliorate some of these concerns, a team of resident and medical student trainees implemented a virtual shared medical appointment (vSMA) program for inpatients with acute cerebrovascular disorders and their caregivers. The authors hypothesized that an early intervention in the form of a vSMA improves patient and caregiver health literacy and preparedness while simultaneously educating clinical trainees on effective communication skills and reducing clinician burnout. Patients and caregivers of admitted patients were identified through a census of neurosurgery, neurocritical care, and neurology electronic medical records. A weekly 60-minute secure virtual session consisted of introductions and a 10-minute standardized presentation on cerebrovascular disease management, followed by participant-guided discussion. Participants completed presession and postsession surveys. Through this small feasibility study data were obtained regarding present challenges, both expected and unforeseen. A total of 170 patients were screened, and 13 patients and 26 caregivers participated in at least 1 vSMA session. A total of 6 different healthcare providers facilitated sessions. The vSMA program received overwhelmingly positive feedback from caregivers. Survey responses demonstrated that 96.4% of caregivers and 75% of patients were satisfied with the session, 96.4% of caregivers and 87.5% of patients would recommend this type of appointment to a friend or family member, and 88.8% of providers reported feeling validated by conducting the session. The participant group had a 20% greater percentage of patients discharged home without home needs compared to the nonparticipant group. The primary obstacles encountered included technological frustrations with the consent process and the sessions themselves. Implementation of a vSMA program at a tertiary care center during a pandemic was feasible. Themes caregivers expressed on the postsession survey included better understanding of caring for a stroke patient and coping with the unpredictability of a patient's prognosis. The pandemic has precipitated shifts toward telehealth, but this study highlights the importance of avoiding marginalization of elderly and less technologically inclined populations.",Mahajan Uma V; Sharma Neha; Maynard Marquis; Kang Lei; Labak Collin M; Raghavan Alankrita; Sajatovic Martha; Hoffer Alan; Shammassian Berje H; Wright James M; Zhou Xiaofei; Wright Christina Huang,Neurosurgical focus,2022.0,52,6,E12,https://pubmed.ncbi.nlm.nih.gov/35921191/,Journal Article,,"Aged; Burnout, Psychological; COVID-19; Caregivers; Health Literacy; Humans; Inpatients; Pandemics; Pilot Projects; Self Efficacy; Shared Medical Appointments; Stroke",,,,,,eng,,,,,,,True,"The study involves adult patients with acute cerebrovascular disorders (stroke/brain hemorrhage) admitted to neurocritical care, with caregivers as subjects. It examines family perspectives on health literacy, self-efficacy, and psychological impacts, meeting inclusion criteria. Exclusion criteria (pediatrics, purely clinical outcomes, case reports) are not met."
PubMed,PMID/DOI,35725458,COVID-19 and telehealth in the intensive care unit setting: a survey.,"Coronavirus disease (COVID-19) has led to changes in how healthcare is delivered. Here, through the administration of surveys, we evaluated telehealth use and views in US intensive care units (ICUs) during the pandemic. From June 2020 to July 2021, voluntary, electronic surveys were provided to ICU leaders of Johns Hopkins Medical Institution (JHMI) hospitals, members of the Neurocritical Care Society (NCS) who practice in the US, and Society of Critical Care Medicine (SCCM) members practicing adult medicine. Response rates to our survey were as follows: 18 of 22 (81.8%) JHMI-based ICU leaders, 22 of 2218 (1.0%) NCS members practicing in the US, and 136 of 13,047 (1.0%) SCCM members. COVID-19 patients were among those cared for in the ICUs of 77.7, 86.4, and 93.4% of respondents, respectively, in April 2020 (defined as the peak of the pandemic). Telehealth technologies were used by 88.9, 77.3, and 75.6% of respondents, respectively, following the start of COVID-19 while only 22.2, 31.8, and 43.7% utilized them prior. The most common telehealth technologies were virtual meeting software and telephone (with no video component). Provider, nurse, and patient communications with the patient's family constituted the most frequent types of interactions utilizing telehealth. Most common reasons for telehealth use included providing an update on a patient's condition and conducting a goals of care discussion. 93.8-100.0% of respondents found telehealth technologies valuable in managing patients. Technical issues were noted by 66.7, 50.0, and 63.4% of respondents, respectively. Telehealth use increased greatly among respondents following the start of COVID-19. In US ICUs, telehealth technologies found diverse uses during the pandemic. Future studies are needed to confirm our findings.",Nelson Sarah E; Steuernagle Jon; Rotello Leo; Nyquist Paul; Suarez Jose I; Ziai Wendy,BMC health services research,2022.0,22,1,797,https://pubmed.ncbi.nlm.nih.gov/35725458/,Journal Article,,Adult; COVID-19; Humans; Intensive Care Units; Pandemics; Surveys and Questionnaires; Telemedicine,,,,,,eng,,,,,,,False,"The study focuses on telehealth use by ICU providers, not family members' experiences, perceptions, or psychological impacts. It lacks a family perspective as required by inclusion criteria."
PubMed,PMID/DOI,35667164,Collaborative Integration of Palliative Care in Critically Ill Stroke Patients in the Neurocritical Care Unit: A Single Center Pilot Study.,"Patients admitted to the Neurocritical Care Unit (NCCU) with moderate-to-severe acute strokes, along with their surrogate decision makers, have the potential for unrecognized or unmet emotional and psychological needs. Our primary objective was to determine if early integration of palliative care consultations within this cohort was feasible and would impact understanding, decision-making and emotional support to patients and their surrogate decision makers. Our secondary objective was to evaluate the long-term impact of early palliative care assessment on the development of post-traumatic stress disorder (PTSD). This was a single center prospective pilot study. Patients with moderate-to-severe ischemic and hemorrhagic strokes were randomized into two arms. The control arm received standard intensive care and the intervention arm received an additional early palliative care consultation within 72 hours of hospitalization. Study assessments with the participants were obtained on day 1-3, and day 5-7 of care with comparisons of total scores on the Questionnaire on Communication (QOC), Decisional Conflict Scale (DCS), and Hospital Anxiety and Depression Scale (HADS). Furthermore, comparisons of HADS and PTSD DSM-5 (PCL- 5) scores were completed at 3 months. Linear mixed effects models were conducted to examine the association between intervention and participant's scores. A total of 22 participants were enrolled between February 2019 and April 2020. Statistically significant improvement in scores was seen in the total HADS score (p=0.043) and PCL5 score (p=0.033) at 3 months following intervention. Collaboration between the intensive care and palliative care team with early palliative assessment may be beneficial in lowering anxiety, depression and PTSD symptoms in critically ill stroke patients and their caregivers. Further research is needed to validate these findings.",Kamdar Hera A; Gianchandani Sachi; Strohm Tamara; Yadav Kuldeep; Chou Claudia Z; Reed LuAnn; Norton Kavitha; Hinduja Archana,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2022.0,31,8,106586,https://pubmed.ncbi.nlm.nih.gov/35667164/,Journal Article; Randomized Controlled Trial,,Critical Illness; Family; Humans; Intensive Care Units; Palliative Care; Pilot Projects; Prospective Studies; Stroke,,,,,,eng,,,,,,,True,"The study involves adult stroke patients in Neurocritical Care Unit (NCCU) with severe acute brain injury, examines psychological outcomes (anxiety, depression, PTSD) in patients and their surrogate decision makers, and is a quantitative pilot study conducted in English."
PubMed,PMID/DOI,35265851,The Experiences and Needs of Families of Comatose Patients After Cardiac Arrest and Severe Neurotrauma: The Perspectives of National Key Stakeholders During a National Institutes of Health-Funded Workshop.,"Severe acute brain injury (SABI) from cardiac arrest and traumatic brain injury happens suddenly and unexpectedly, carrying high potential for lifelong disability with substantial prognostic uncertainty. Comprehensive assessments of family experiences and support needs after SABI are lacking. Our objective is to elicit ""on-the-ground"" perspectives about the experiences and needs of families of patients with SABI. Two-phase qualitative study of families and multidisciplinary U.S. healthcare professionals (mHCPs) with expertise in SABI: Phase 1 included semistructured interviews to generate formative findings; phase 2 entailed facilitated discussions to confirm and expand initial findings. Phase 1: academic medical center; phase 2: virtual workshop. Phase 1 included seven family members and 12 mHCPs. Phase 2 included nationally recruited stakeholders (17 family members and 12 mHCPs). None. We explored: 1) what are families' needs in the first 48 hours? 2) How are these needs addressed? and 3) How can hospitals better meet these needs? Qualitative analysis included inductive and deductive approaches guided by a conceptual ecological model. Four major needs were identified: 1) challenges in coping with uncertainty in early prognostication, 2) inattention to physical needs of family, 3) deficits in compassionate and consistent communication, and 4) need for engagement with families as stakeholders in improving future practices. Participants' recommendations included: 1) ways to communicate more clearly and consistently, 2) better assistance with navigating resources and access to places for families to care for themselves, and 3) opportunities for families to remain connected with their loved ones, social support networks, and the clinical team. Stakeholders identified novel insights regarding families' experiences during the hospitalization of comatose SABI patients and factors that can contribute to improved decision-making and physical/emotional outcomes. Interventions to address these unmet needs are promising targets to improve outcomes.",Muehlschlegel Susanne; Perman Sarah M; Elmer Jonathan; Haggins Adrianne; Teixeira Bailey Natalie D; Huang Jennifer; Jansky Liz; Kirchner Jessica; Kasperek-Wynn Renee; Lipman Paula Darby; Yeatts Sharon D; Fetters Michael D; Dickert Neal W; Silbergleit Robert,Critical care explorations,2022.0,4,3,e0648,https://pubmed.ncbi.nlm.nih.gov/35265851/,Journal Article,,,,,,,,eng,,,,,,,True,"The study focuses on families of patients with severe acute brain injury (SABI) from cardiac arrest and traumatic brain injury, addressing their experiences, needs, and psychological impacts. It includes adult participants, family members, and healthcare professionals, meets language criteria, and is a qualitative study."
PubMed,PMID/DOI,35217998,"Pregabalin for Recurrent Seizures in Critical Illness: A Promising Adjunctive Therapy, Especially for cyclic Seizures.","Pregabalin (PGB) is an effective adjunctive treatment for focal epilepsy and acts by binding to the alpha2-delta subunit of voltage-gated calcium channels to reduce excitatory neurotransmitter release. Limited data exist on its use in the neurocritical care setting, including cyclic seizures-a pattern of recurrent seizures occurring at nearly regular intervals. Although the mechanism underpinning cyclic seizures remains elusive, spreading excitation linked to spreading depolarizations may play a role in seizure recurrence and periodicity. PGB has been shown to increase spreading depolarization threshold; hence, we hypothesized that the magnitude of antiseizure effect from PGB is more pronounced in patients with cyclic versus noncyclic seizures in a critically ill cohort with recurrent seizures. We conducted a retrospective case series of adults admitted to two academic neurointensive care units between January 2017 and March 2019 who received PGB for treatment of seizures. Data collected included demographics, etiology of brain injury, antiseizure medications, and outcome. Continuous electroencephalogram recordings 48 hours before and after PGB administration were reviewed by electroencephalographers blinded to the administration of antiseizure medications to obtain granular data on electrographic seizure burden. Cyclic seizures were determined quantitatively (i.e., < 50% variation of interseizure intervals for at least 50% of consecutive seizures). Coprimary outcomes were decrease in hourly seizure burden in minutes and decrease in seizure frequency in the 48 hours after PGB initiation. We used nonparametric tests for comparison of seizure frequency and burden and segmented linear regression to assess PGB effect. We included 16 patients; the median age was 69 years, 11 (68.7%) were women, three (18.8%) had undergone a neurosurgical procedure, and five (31%) had underlying epilepsy. All seizures had focal onset; ten patients (62.5%) had cyclic seizures. The median hourly seizure burden over the 48 hours prior to PGB initiation was 1.87 min/hour (interquartile range 1.49-8.53), and the median seizure frequency was 1.96 seizures/hour (interquartile range 1.06-3.41). In the 48 hours following PGB (median daily dose 300 mg, range 75-300 mg), the median number of seizures per hour was reduced by 0.80 seizures/hour (95% confidence interval 0.19-1.40), whereas the median hourly seizure burden decreased by 1.71 min/hour (95% confidence interval 0.38-3.04). When we compared patients with cyclic versus noncyclic seizures, there was a relative decrease in hourly seizure frequency (- 86.7% versus - 2%, p = 0.04) and hourly seizure burden (- 89% versus - 7.8%, p = 0.03) at 48 hours. PGB was associated with a relative reduction in seizure burden in neurocritically ill patients with recurrent seizures, especially those with cyclic seizures, and may be considered in the therapeutic arsenal for refractory seizures. Whether this effect is mediated via modulation of spreading depolarization requires further study.",Busl Katharina M; Fong Michael W K; Newcomer Zachary; Patel Mitesh; Cohen Scott A; Jadav Rakesh; Smith Christine N; Mitropanopoulos Sotiris; Bruzzone Maria; Hella Maria; Eisenschenk Stephan; Robinson Christopher P; Roth William H; Ameli Pouya Alexander; Babi Marc-Alain; Pizzi Michael A; Gilmore Emily J; Hirsch Lawrence J; Maciel Carolina B,Neurocritical care,2022.0,37,1,140-148,https://pubmed.ncbi.nlm.nih.gov/35217998/,Journal Article,,Adult; Aged; Female; Humans; Male; Anticonvulsants; Critical Illness; Pregabalin; Retrospective Studies; Seizures,,,,,,eng,,,,,,,False,"The study focuses on clinical outcomes (seizure burden reduction in neurocritically ill patients) without addressing family perspectives, satisfaction, anxiety, depression, or psychological impact. It lacks a focus on family members' experiences as required by inclusion criteria."
PubMed,PMID/DOI,35055335,Agreement and Reliability Analysis of Machine Learning Scaling and Wireless Monitoring in the Assessment of Acute Proximal Weakness by Experts and Non-Experts: A Feasibility Study.,"Assessing the symptoms of proximal weakness caused by neurological deficits requires the knowledge and experience of neurologists. Recent advances in machine learning and the Internet of Things have resulted in the development of automated systems that emulate physicians' assessments. The application of those systems requires not only accuracy in the classification but also reliability regardless of users' proficiency in the real environment for the clinical point-of-care and the personalized health management. This study provides an agreement and reliability analysis of using a machine learning-based scaling of Medical Research Council (MRC) proximal scores to evaluate proximal weakness by experts and non-experts. The system trains an ensemble learning model using the signals from sensors attached to the limbs of patients in a neurological intensive care unit. For the agreement analysis, we investigated the percent agreement of MRC proximal scores and Bland-Altman plots of kinematic features between the expert- and non-expert scaling. We also analyzed the intra-class correlation coefficients (ICCs) of kinematic features and Krippendorff's alpha of the observers' scaling for the reliability analysis. The mean percent agreement between the expert- and the non-expert scaling was 0.542 for manual scaling and 0.708 for autonomous scaling. The ICCs of kinematic features measured using sensors ranged from 0.742 to 0.850, whereas the Krippendorff's alpha of manual scaling for the three observers was 0.275. The autonomous assessment system can be utilized by the caregivers, paramedics, or other observers during an emergency to evaluate acute stroke patients.",Park Eunjeong; Lee Kijeong; Han Taehwa; Nam Hyo Suk,Journal of personalized medicine,2022.0,12,1,,https://pubmed.ncbi.nlm.nih.gov/35055335/,Journal Article,,,,,,,,eng,,,,,,,False,"The paper focuses on the reliability and accuracy of a machine learning system for assessing proximal weakness, not on family members' psychological experiences, needs, or perspectives as required by inclusion criteria."
PubMed,PMID/DOI,35033779,The incidence and outcomes of healthcare-associated respiratory tract infections in non-ventilated neurocritical care patients: Results of a 10-year cohort study.,"The incidence of healthcare-associated respiratory tract infections in non-ventilated patients (NVA-HARTI) in neurosurgical intensive care units (ICUs) is unknown. The impact of NVA-HARTI on patient outcomes and differences between NVA-HARTI and ventilator-associated healthcare-associated respiratory tract infections (VA-HARTI) are poorly understood. Our objectives were to report the incidence, hospital length of stay (LOS), ICU LOS, and mortality in NVA-HARTI patients and compare these characteristics to VA-HARTI in neurocritical care patients. This cohort study was conducted in a neurosurgical ICU in Moscow. From 2011 to 2020, all patients with an ICU LOS > 48 h were included. A competing risk model was used for survival and risk analysis. A total of 3,937 ICU admissions were analyzed. NVA-HARTI vs VA-HARTI results were as follows: cumulative incidence 7.2 (95%CI: 6.4-8.0) vs 15.4 (95%CI: 14.2-16.5) per 100 ICU admissions; incidence rate 4.2 ± 2.0 vs 9.5 ± 3.0 per 1000 patient-days in the ICU; median LOS 32 [Q1Q3: 21, 48.5] vs 46 [Q1Q3: 28, 76.5] days; median ICU LOS 15 [Q1Q3: 10, 28.75] vs 26 [Q1Q3: 17, 43] days; mortality 12.3% (95%CI: 7.9-16.8) vs 16.7% (95%CI: 13.6-19.7). The incidence of VA-HARTI decreased over ten years while NVA-HARTI incidence did not change. VA-HARTI was an independent risk factor of death, OR 1.54 (1.11-2.14), while NVA-HARTI was not. Our findings suggest that NVA-HARTI in neurocritical care patients represents a significant healthcare burden with relatively high incidence and associated poor outcomes. Unlike VA-HARTI, the incidence of NVA-HARTI remained constant despite preventive measures. This suggests that extrapolating VA-HARTI research findings to NVA-HARTI should be avoided.",Ershova Ksenia; Savin Ivan; Khomenko Oleg; Wong Darren; Danilov Gleb; Shifrin Michael; Sokolova Ekaterina; O'Reilly-Shah Vikas N; Lele Abhijit V; Ershova Olga,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2022.0,97,,32-41,https://pubmed.ncbi.nlm.nih.gov/35033779/,Journal Article,,Cohort Studies; Cross Infection; Delivery of Health Care; Hospital Mortality; Humans; Incidence; Intensive Care Units; Length of Stay; Respiratory Tract Infections,,,,,,eng,,,,,,,False,"The paper focuses on clinical outcomes (mortality, LOS) of non-ventilated neurocritical care patients without addressing family perspectives, psychological impacts, or caregiver experiences. It meets exclusion criteria for lacking a family-centric focus."
PubMed,PMID/DOI,35007934,Prognostication in Acute Neurological Emergencies.,"For patients with acute, serious neurological conditions presenting to the emergency department (ED), prognostication is typically based on clinical experience, scoring systems and patient co-morbidities. Because estimating a poor prognosis influences caregiver decisions to withdraw life-sustaining therapy, we investigated the consistency of prognostication across a spectrum of neurology physicians. Five acute neurological presentations (2 with large hemispheric infarction; 1 with brainstem infarction, 1 with lobar hemorrhage, and 1 with hypoxic-ischemic encephalopathy) were selected for a department-wide prognostication simulation exercise. All had presented to our tertiary care hospital's ED, where a poor outcome was predicted by the ED neurology team within 24 hours of onset. Relevant clinical, laboratory and imaging data available before ED prognostication were presented on a web-based platform to 120 providers blinded to the actual outcome. The provider was requested to rank-order, from most to least likely, the predicted 90-day modified Rankin Scale (mRS) score. To determine the accuracy of individual outcome predictions we compared the patient's the actual 90-day mRS score to highest ranked predicted mRS score. Additionally, the group's ""weighted"" outcomes, accounting for the entire spectrum of mRS scores ranked by all respondents, were compared to the actual outcome for each case. Consistency was compared between pre-specified provider roles: neurology trainees versus faculty; non-vascular versus vascular faculty. Responses ranged from 106-110 per case. Individual predictions were highly variable, with predictions matching the actual mRS scores in as low as 2% of respondents in one case and 95% in another case. However, as a group, the weighted outcome matched the actual mRS score in 3 of 5 cases (60%). There was no significant difference between subgroups based on expertise (stroke/neurocritical care versus other) or experience (faculty versus trainee) in 4 of 5 cases. Acute neuro-prognostication is highly variable and often inaccurate among neurology providers. Significant differences are not attributable to experience or subspecialty expertise. The mean outcome prediction from group of providers (""the wisdom of the crowd"") may be superior to that of individual providers.",Sloane Kelly L; Miller Julie J; Piquet Amanda; Edlow Brian L; Rosenthal Eric S; Singhal Aneesh B,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2022.0,31,3,106277,https://pubmed.ncbi.nlm.nih.gov/35007934/,Journal Article,,"Acute Disease; Emergencies; Emergency Service, Hospital; Humans; Nervous System Diseases; Prognosis; Treatment Outcome",,,,,,eng,,,,,,,False,"The study focuses on neurology providers' prognostication accuracy, not family members' experiences, needs, or psychological impact. It lacks focus on the family perspective required by inclusion criteria."
