Source,ID_Type,ID,Title,Abstract,Authors,Journal,Year,Volume,Issue,Pages,URL,Publication_Type,Study_Type,MeSH_Terms,Keywords,Open_Access,PMC_Link,PDF_Link,Country,Language,Date_Online,Date_Publication,Citations_Scholar,Funding,Conflict_Interest,DOI
Google Scholar,DOI,10.1016/0003-9993(94)90112-0,Family stressors in traumatic brain injury: a two-year follow-up,"… reported that at 3 to 7 years after injury 25% to 30% of family members experienced anxiety 
and depression sufficiently severe to warrant clinical intervention. Lezak et alI5 reported “…","KM Hall, P Karzmark, M Stevens, J Englander… - Archives of physical …, 1994",Elsevier,1994,,,,https://www.sciencedirect.com/science/article/pii/0003999394901120,,,,,,,,,,,,372,,,10.1016/0003-9993(94)90112-0
Google Scholar,DOI,10.1016/j.jcrc.2013.11.022,Anxiety and depression symptoms among families of adult intensive care unit survivors immediately following brief length of stay,"… families from the Neuro ICU and MICU in particular to collect data from both a “co-managed” 
ICU model (eg, the Neuro ICU, … are admitted electively (eg, Neuro ICU) and one where most …","DY Hwang, D Yagoda, HM Perrey, PF Currier… - Journal of critical …, 2014",Elsevier,2014,,,,https://www.sciencedirect.com/science/article/pii/S0883944113004681,,,,,Likely (PDF found),,https://www.academia.edu/download/102411032/j.jcrc.2013.11.02220230519-1-u5pjtb.pdf,,,,,,,,10.1016/j.jcrc.2013.11.022
Google Scholar,DOI,10.1080/09602011.2019.1620787,A predictive model of resilience among family caregivers supporting relatives with traumatic brain injury (TBI): A structural equation modelling approach,"… Caregivers can experience high rates of depression and anxiety (23%-50%) (Anderson et 
al., Citation2009; Anderson, Parmenter, & Mok, Citation2002; Ennis, Rosenbloom, Canzian, & …","MI Anderson, M Daher, GK Simpson - Neuropsychological …, 2020",Taylor & Francis,2020,,,,https://www.tandfonline.com/doi/abs/10.1080/09602011.2019.1620787,,,,,Likely (PDF found),,https://www.academia.edu/download/107847595/09602011.2019.162078720231126-1-s32u0k.pdf,,,,,,,,10.1080/09602011.2019.1620787
Google Scholar,DOI,10.1007/s12028-019-00826-0,Post-intensive care syndrome: unique challenges in the neurointensive care unit,"… that are associated directly with the experience of a critical illness, we … outcomes among 
neurocritical care patients and families, … of recovery among critically ill patients and their families. …","JN LaBuzetta, J Rosand, AM Vranceanu - Neurocritical care, 2019",Springer,2019,,,,https://link.springer.com/article/10.1007/s12028-019-00826-0,,,,,Likely (PDF found),,https://pmc.ncbi.nlm.nih.gov/articles/PMC7007600/pdf/nihms-1066683.pdf,,,,,,,,10.1007/s12028-019-00826-0
Google Scholar,DOI,10.3109/17549507.2011.549240,Experiences of care: Perspectives of carers of adults with traumatic brain injury,"… traumatic brain injury units in Australia and then with ex-clients with TBI and their families 
within … These reasons given by carers for their degree of satisfaction with services in this study …","AM O'Callaghan, L McAllister… - International Journal of …, 2011",Taylor & Francis,2011,,,,https://www.tandfonline.com/doi/abs/10.3109/17549507.2011.549240,,,,,Likely (PDF found),,https://researchoutput.csu.edu.au/files/8784110/23686manuscript.pdf,,,,,,,,10.3109/17549507.2011.549240
Google Scholar,DOI,10.1097/htr.0b013e31825d6087,… of neurobehavioral impairment on family functioning and the psychological well-being of male versus female caregivers of relatives with severe traumatic brain injury …,"… 31 found no gender-related differences for caregivers on measures of satisfaction with life, 
negative care feelings, positive care feelings, and depression/anxiety. Therefore, to date, the …","MI Anderson, GK Simpson… - The Journal of head trauma …, 2013",journals.lww.com,2013,,,,https://journals.lww.com/headtraumarehab/FullText/2013/11000/The_Impact_of_Neurobehavioral_Impairment_on_Family.8.aspx,,,,,Likely (PDF found),,https://www.academia.edu/download/71104718/A_Contemporary_Model_for_Understanding_F20211003-24152-6prru3.pdf,,,,,,,,10.1097/htr.0b013e31825d6087
Google Scholar,DOI,10.1037/rep0000632,… burden and anxiety for caregivers of veterans with traumatic brain injury and dementia: Randomized controlled trial of the resources for enhancing all caregivers' …,"Purpose/Objective: Caregivers of veterans with comorbid traumatic brain injury (TBI) and 
dementia face many challenges managing their loved ones’ neurobehavioral functioning and, …","LO Nichols, J Martindale-Adams, RT Seel… - Rehabilitation …, 2025",psycnet.apa.org,,,,,https://psycnet.apa.org/record/2026-45730-001,,,,,Likely (PDF found),,https://psycnet.apa.org/manuscript/2026-45730-001.pdf,,,,,,,,10.1037/rep0000632
Google Scholar,DOI,10.1097/00001199-200108000-00007,Long-term life quality and family needs after traumatic brain injury,"… Respondents included 57 caregivers of persons with traumatic brain injury who were at least 
4 years … members' quality of life after injury relative to preinjury satisfaction. However, most …","SA Kolakowsky-Hayner, KD Miner… - The Journal of head …, 2001",journals.lww.com,2001,,,,https://journals.lww.com/headtraumarehab/fulltext/2001/08000/long_term_life_quality_and_family_needs_after.7.aspx,,,,,,,,,,,,278,,,10.1097/00001199-200108000-00007
Google Scholar,DOI,10.1080/026990500120790,Cultural variations in the understanding of traumatic brain injury and brain injury rehabilitation,"… people from different cultures experience and understand traumatic brain injury (TBI) and … 
services to people with a traumatic brain injury and their families resident in the South Western …","G Simpson, R Mohr, A Redman - Brain injury, 2000",Taylor & Francis,2000,,,,https://www.tandfonline.com/doi/abs/10.1080/026990500120790,,,,,,,,,,,,137,,,10.1080/026990500120790
Google Scholar,DOI,10.2466/pr0.2002.90.2.415,Severe traumatic brain injury: Some effects on family caregivers,"… The Family Environment Scale and the Profile of Mood States were completed by 25 individuals 
who had a family member with a severe traumatic brain injury… family member. In terms of …","GJ Boyle, S Haines - Psychological reports, 2002",journals.sagepub.com,2002,,,,https://journals.sagepub.com/doi/abs/10.2466/pr0.2002.90.2.415,,,,,Likely (PDF found),,https://www.researchgate.net/profile/Gregory-J-Boyle/publication/11312034_Severe_Traumatic_Brain_Injury_Some_Effects_on_Family_Caregivers/links/57bdb9bb08ae8021e046ae1c/Severe-Traumatic-Brain-Injury-Some-Effects-on-Family-Caregivers.pdf,,,,,,,,10.2466/pr0.2002.90.2.415
Google Scholar,DOI,10.1097/00001199-199604000-00012,Psychosocial and emotional sequelae of individuals with traumatic brain injury: a literature review and recommendations,"… cause far greater stress for relatives and family members than do physical … experience TBI. 
The majority of this research evaluates anxiety and depression as reported by relatives, family …","MV Morton, P Wehman - Brain injury, 1995",Taylor & Francis,1996,,,,https://www.tandfonline.com/doi/abs/10.3109/02699059509004574,,,,,,,,,,,,695,,,10.1097/00001199-199604000-00012
Google Scholar,DOI,10.3109/02699059409151012,"Family functioning, social support and depression after traumatic brain injury","… These changes impact family functioning and are manifested by increased levels of tension, 
emotional stress, dysphoria, anxiety, and decreased social adjustment within the family, all …","LR Leach, RG Frank, DE Bouman, J Farmer - Brain injury, 1994",Taylor & Francis,1994,,,,https://www.tandfonline.com/doi/abs/10.3109/02699059409151012,,,,,,,,,,,,196,,,10.3109/02699059409151012
Google Scholar,DOI,10.1097/00001199-200112000-00003,Life satisfaction after traumatic brain injury,"… with life satisfaction among persons with spinal cord injury, whereas the satisfaction of … 
memory capacity, bowel independence, family satisfaction, and perceived responsibility for the …","JD Corrigan, JA Bogner, WJ Mysiw… - The Journal of head …, 2001",journals.lww.com,2001,,,,https://journals.lww.com/headtraumarehab/fulltext/2001/12000/Life_Satisfaction_After_Traumatic_Brain_Injury.3.aspx,,,,,,,,,,,,441,,,10.1097/00001199-200112000-00003
Google Scholar,DOI,10.1080/09638280010006647,The impact of traumatic brain injury on family members living with patients: A preliminary study in Japan and the UK,"… Traumatic brain injury (TBI) has long-term eŒects for both patient and the family members."",# 
Family members may experience shock and grief in the early stages following a sudden life…","Y Watanabe, Agnes Shiel, D. Lindsay … - Disability and …, 2001",Taylor & Francis,2001,,,,https://www.tandfonline.com/doi/abs/10.1080/09638280010006647,,,,,,,,,,,,71,,,10.1080/09638280010006647
Google Scholar,DOI,10.1097/00001199-200701000-00002,A qualitative needs assessment of persons who have experienced traumatic brain injury and their primary family caregivers,"… FOR persons who experience traumatic brain injury (TBI), rehabilitation may last from several 
years to a lifetime. Yet healthcare systems have traditionally been designed to respond to …","AJ Rotondi, J Sinkule, K Balzer, J Harris… - The Journal of head …, 2007",journals.lww.com,2007,,,,https://journals.lww.com/headtraumarehab/fulltext/2007/01000/Perceived_Needs_Following_Traumatic_Brain_Injury.00002.aspx,,,,,Likely (PDF found),,https://www.researchgate.net/profile/Armando-Rotondi-2/publication/6568024_A_Qualitative_Needs_Assessment_of_Persons_Who_Have_Experienced_Traumatic_Brain_Injury_and_Their_Primary_Family_Caregivers/links/5ca365c0a6fdcc12ee8c6729/A-Qualitative-Needs-Assessment-of-Persons-Who-Have-Experienced-Traumatic-Brain-Injury-and-Their-Primary-Family-Caregivers.pdf,,,,,,,,10.1097/00001199-200701000-00002
Google Scholar,DOI,10.1080/026990597123764,Family needs after traumatic brain injury: a factor analytic study of the Family Needs Questionnaire,"… family members are at increased risk for depression, anxiety, … Caught in a never-ending 
stress cycle, relatives may resort to … post-injury family needs as part of an effort to improve family …","CD Serio, JS Kreutzer, AD Witol - Brain injury, 1997",Taylor & Francis,1997,,,,https://www.tandfonline.com/doi/abs/10.1080/026990597123764,,,,,,,,,,,,196,,,10.1080/026990597123764
Google Scholar,DOI,10.1076/jcen.24.4.434.1030,Caregiver burden during the year following severe traumatic brain injury,"… caregivers of people with a severe traumatic brain injury (TBI… caregivers reported clinically 
significant symptoms of anxiety … By 1-year postinjury, the prevalence of anxiety and depression …","NV Marsh, DA Kersel, JH Havill… - Journal of clinical and …, 2002",Taylor & Francis,2002,,,,https://www.tandfonline.com/doi/abs/10.1076/jcen.24.4.434.1030,,,,,Likely (PDF found),,https://www.researchgate.net/profile/Nigel-Marsh/publication/11201023_Caregiver_Burden_During_the_Year_Following_Severe_Traumatic_Brain_Injury/links/57329ebd08ae9f741b235cc0/Caregiver-Burden-During-the-Year-Following-Severe-Traumatic-Brain-Injury.pdf,,,,,,,,10.1076/jcen.24.4.434.1030
Google Scholar,DOI,10.1177/0269215517709330,A study of burden of care and its correlates among family members supporting relatives and loved ones with traumatic spinal cord injuries,"… burden, resilience and life satisfaction in a sample of caregivers of spinal cord injury … 
traumatic brain injury hampering comprehension during assessments. Inclusion criteria for family …","C Castellano-Tejedor… - Clinical …, 2017",journals.sagepub.com,2017,,,,https://journals.sagepub.com/doi/abs/10.1177/0269215517709330,,,,,Likely (PDF found),,https://openaccess.uoc.edu/bitstream/10609/151918/1/Castellano-Tejedor%20%26%20Lusilla-Palacios%2C%202017.pdf,,,,,,,,10.1177/0269215517709330
Google Scholar,DOI,10.1097/htr.0b013e3182068588,Interpersonal relationships and traumatic brain injury,"… The results showed that caregivers’ social support and family behavioral control were … life 
satisfaction for persons with injury. Similarly, caregivers’ life satisfaction and family behavioral …","AM Sander, MA Struchen - The Journal of Head Trauma …, 2011",journals.lww.com,2011,,,,https://journals.lww.com/headtraumarehab/fulltext/2011/01000/interpersonal_relationships_and_traumatic_brain.1.aspx,,,,,,,,,,,,47,,,10.1097/htr.0b013e3182068588
Google Scholar,DOI,10.1080/026990596124692,"Relatives' perceptions of role change, social support and stress after traumatic brain injury","… of TBI, and their importance as stressors for relatives, the nature and extent of that burden … 
of role change experience, source, the utilization of and satisfaction with social support, and …","J Leathem, E Heath, C Woolley - Brain injury, 1996",Taylor & Francis,1996,,,,https://www.tandfonline.com/doi/abs/10.1080/026990596124692,,,,,,,,,,,,124,,,10.1080/026990596124692
Google Scholar,DOI,10.1080/026990597122963,The long term effects of traumatic brain injury on the roles of caregivers,"… This study is significant because many caregivers and rehabilitation services do not currently 
recognize that the role changes caregivers experience are ongoing and long-term. The …","S Frosch, A Gruber, C Jones, S Myers, E Noel… - Brain Injury, 1997",Taylor & Francis,1997,,,,https://www.tandfonline.com/doi/abs/10.1080/026990597122963,,,,,,,,,,,,78,,,10.1080/026990597122963
Google Scholar,DOI,10.1076/jcen.24.4.420.1040,Significant other burden and factors related to it in traumatic brain injury,"… SO experience and needs further investigation. The overall positive report of family members 
in … For example, some relatives who are positive about the experience at 6 months may feel …","J Machamer, N Temkin, S Dikmen - Journal of Clinical and …, 2002",Taylor & Francis,2002,,,,https://www.tandfonline.com/doi/abs/10.1076/jcen.24.4.420.1040,,,,,,,,,,,,123,,,10.1076/jcen.24.4.420.1040
Google Scholar,DOI,10.1111/fare.12122,"Promoting resilience following traumatic brain injury: application of an interdisciplinary, evidence‐based model for intervention","… of neuropsychology and marriage and family therapy: (a) the … relational satisfaction in 
couples following a traumatic brain injury… Traumatic brain injury (TBI) has been identified by the …","EE Godwin, HR Lukow, S Lichiello - Family Relations, 2015",Wiley Online Library,2015,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/fare.12122,,,,,,,,,,,,56,,,10.1111/fare.12122
Google Scholar,DOI,10.3109/02699059509008190,Developmental models of social cognition in assessing the role of family stress in relatives' predictions following traumatic brain injury,"… According to these authors how families experience problems may be more important 
than the actual functional deficits demonstrated by survivors. Evidence is accumulating that …","MC Mintz, KR Van Horn, MJ Levine - Brain Injury, 1995",Taylor & Francis,1995,,,,https://www.tandfonline.com/doi/abs/10.3109/02699059509008190,,,,,,,,,,,,45,,,10.3109/02699059509008190
Google Scholar,DOI,10.1016/j.genhosppsych.2018.02.012,Resiliency is independently associated with greater quality of life among informal caregivers to neuroscience intensive care unit patients,"… between resiliency, distress, and caregiver QoL at time of Neuro-ICU admission. … Results 
highlight the importance of resiliency factors in QoL among Neuro-ICU caregivers and the need …","EL Zale, TJ Heinhuis, T Tehan, D Salgueiro… - General hospital …, 2018",Elsevier,2018,,,,https://www.sciencedirect.com/science/article/pii/S016383431730508X,,,,,,,,,,,,43,,,10.1016/j.genhosppsych.2018.02.012
Google Scholar,DOI,10.3109/11038128.2011.611531,Brain injury rehabilitation: The lived experience of inpatients and their family caregivers,"… Sixteen of the participants with an ABI had sustained a traumatic brain injury with seven … 
However, all participants with traumatic brain injury could be classified as having sustained …","J Fleming, J Sampson, P Cornwell… - Scandinavian Journal …, 2012",Taylor & Francis,2012,,,,https://www.tandfonline.com/doi/abs/10.3109/11038128.2011.611531,,,,,,,,,,,,78,,,10.3109/11038128.2011.611531
Google Scholar,DOI,10.1097/00001199-200010000-00005,Acute impact of severe traumatic brain injury on family structure and coping responses,"… of traumatic brain injury (TBI) on the survivor's family is well … direct effects on the individual's 
family and are frequently experienced in … , family financial drain, reduced satisfaction in family …","G Curtiss, S Klemz… - The Journal of Head …, 2000",journals.lww.com,2000,,,,https://journals.lww.com/headtraumarehab/fulltext/2000/10000/acute_impact_of_severe_traumatic_brain_injury_on.5.aspx,,,,,,,,,,,,106,,,10.1097/00001199-200010000-00005
Google Scholar,DOI,10.1037/ort0000207,Burden and mental health among caregivers of veterans with traumatic brain injury/polytrauma.,"… on family caregivers for ongoing care and support with reintegration. Understanding factors 
associated with caregiving that help or harm caregivers’ … shown that caregivers experience a …","JM Griffin, MK Lee, LR Bangerter… - American journal of …, 2017",psycnet.apa.org,,,,,https://psycnet.apa.org/record/2017-06703-004,,,,,Likely (PDF found),,https://psycnet.apa.org/manuscript/2017-06703-004.pdf,,,,,,,,10.1037/ort0000207
Google Scholar,DOI,10.1007/s12028-008-9050-6,The impact of a neuro-intensivist on patients with stroke admitted to a neurosciences intensive care unit,"… Lastly, no long-term mortality, no patient and family satisfaction data, and quality of life 
assessment after discharge could be determined, although the higher numbers of patients who …","PN Varelas, L Schultz, M Conti, M Spanaki… - Neurocritical care, 2008",Springer,2008,,,,https://link.springer.com/article/10.1007/s12028-008-9050-6,,,,,,,,,,,,121,,,10.1007/s12028-008-9050-6
Google Scholar,DOI,10.1080/026990596124674,Self-awareness of deficits in adults with traumatic brain injury: how best to measure?,"… Some method of assessing self-awareness of deficits in patients with traumatic brain injury 
(… , families and service providers revealed that patients and families may experience a double…","JM Fleming, J Strong, R Ashton - Brain injury, 1996",Taylor & Francis,1996,,,,https://www.tandfonline.com/doi/abs/10.1080/026990596124674,,,,,Likely (PDF found),,https://www.researchgate.net/profile/Jennifer-Fleming-5/publication/14522149_Self-awareness_of_deficits_in_adults_with_traumatic_brain_injury_how_best_to_measure/links/02e7e52718778cb714000000/Self-awareness-of-deficits-in-adults-with-traumatic-brain-injury-how-best-to-measure.pdf,,,,,,,,10.1080/026990596124674
Google Scholar,URL,https://link.springer.com/article/10.1007/s12028-018-0641-6,Preventing chronic emotional distress in stroke survivors and their informal caregivers,"… and their informal caregivers. We measured stroke survivors’, caregivers’, and neurocritical 
care nurses’ views of primary drivers of distress during the stroke experience, and needs and …","JL McCurley, CJ Funes, EL Zale, A Lin, M Jacobo… - Neurocritical care, 2019",Springer,,,,,https://link.springer.com/article/10.1007/s12028-018-0641-6,,,,,Likely (PDF found),,https://pmc.ncbi.nlm.nih.gov/articles/PMC6958510/pdf/nihms-1055714.pdf,,,,,,,,
Google Scholar,URL,https://journals.lww.com/headtraumarehab/fulltext/2009/05000/factors_affecting_leisure_participation_after_a.5.aspx,Factors affecting leisure participation after a traumatic brain injury: an exploratory study,"… The perception of family caregivers, the perception of professionals, and the participants' 
neuropsychological profile may also have provided a more complete picture of the main factors …","N Bier, E Dutil, M Couture - The Journal of head trauma …, 2009",journals.lww.com,,,,,https://journals.lww.com/headtraumarehab/fulltext/2009/05000/factors_affecting_leisure_participation_after_a.5.aspx,,,,,,,,,,,,107,,,
Google Scholar,URL,https://www.tandfonline.com/doi/abs/10.1080/09638280600731599,"Family carers of stroke survivors: needs, knowledge, satisfaction and competence in caring","… As a first step toward this a survey was conducted to contribute to local guidelines for support 
and involvement for family carers of stroke survivors in a South London Acute Stroke Unit (…","A Mackenzie, L Perry, E Lockhart, M Cottee… - Disability and …, 2007",Taylor & Francis,,,,,https://www.tandfonline.com/doi/abs/10.1080/09638280600731599,,,,,,,,,,,,168,,,
Google Scholar,URL,https://journals.lww.com/headtraumarehab/citation/1988/12000/effective_family_intervention_after_traumatic.7.aspx,Effective family intervention after traumatic brain injury: Theory and practice,"… This function may be important to help normalize the family's experience of its adjustment to 
… to from extended family.º The ongoing nature of support groups can offer the family a stable …","M Rosenthal, T Young - The Journal of Head Trauma …, 1988",journals.lww.com,,,,,https://journals.lww.com/headtraumarehab/citation/1988/12000/effective_family_intervention_after_traumatic.7.aspx,,,,,,,,,,,,131,,,
Google Scholar,URL,https://onlinelibrary.wiley.com/doi/abs/10.1155/2015/137402,"Whakawhiti kōrero, a method for the development of a cultural assessment tool, Te Waka Kuaka, in Māori traumatic brain injury","… A fourth wānanga with whānau (extended family) with experience of traumatic brain injury 
… whānau, whatever it takes,” in order to offer participation to whānau with experience of TBI. …","H Elder, P Kersten - Behavioural neurology, 2015",Wiley Online Library,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1155/2015/137402,,,,,Likely (PDF found),,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2015/137402,,,,,,,,
Google Scholar,URL,https://www.tandfonline.com/doi/shareview/10.1080/09602011.2019.1574589,Loss of friendship following traumatic brain injury: A model grounded in the experience of adults with severe injury,"… lonely “Bad and lonely at home just me without family, without friends.” and for Joseph it 
brought the experience of diminishing hope “Hope can only go on for so long and then it fades.” …","J Douglas - Neuropsychological rehabilitation, 2020",Taylor & Francis,,,,,https://www.tandfonline.com/doi/shareview/10.1080/09602011.2019.1574589,,,,,Likely (PDF found),,https://www.tandfonline.com/doi/shareview/10.1080/09602011.2019.1574589,,,,,,,,
Google Scholar,URL,https://www.liebertpub.com/doi/abs/10.1089/jpm.2020.0520,Family presence for patients with severe acute brain injury and the influence of the COVID-19 pandemic,"… Results: We interviewed family members of 19 patients with stroke, traumatic brain injury, 
or … important after SABI when family members not only experience the personal tragedy of …","CJ Creutzfeldt, REC Schutz, DB Zahuranec… - Journal of palliative …, 2021",liebertpub.com,,,,,https://www.liebertpub.com/doi/abs/10.1089/jpm.2020.0520,,,,,Likely (PDF found),,https://www.liebertpub.com/doi/pdf/10.1089/jpm.2020.0520,,,,,,,,
Google Scholar,URL,https://link.springer.com/article/10.1007/s12028-016-0283-5,Palliative care consultations in the neuro-ICU: a qualitative study,"… patient and family and eliciting family member descriptions of … a family member reporting that 
“[the patient’s] self-perception … needs of neuro-ICU patients and their families and highlights …","LN Tran, AL Back, CJ Creutzfeldt - Neurocritical care, 2016",Springer,,,,,https://link.springer.com/article/10.1007/s12028-016-0283-5,,,,,Likely (PDF found),,https://pmc.ncbi.nlm.nih.gov/articles/PMC5045771/pdf/nihms792810.pdf,,,,,,,,
Google Scholar,URL,https://link.springer.com/article/10.1007/s12028-021-01230-3,Prognostic uncertainty in critically ill patients with traumatic brain injury: a multicenter qualitative study,"… on behalf of their incapacitated family members. The Conceptual … for critically ill patients with 
traumatic brain injury (TBI). … for the experience of surrogates in the decision-making process. …","K Jones, T Quinn, KM Mazor, S Muehlschlegel - Neurocritical care, 2021",Springer,,,,,https://link.springer.com/article/10.1007/s12028-021-01230-3,,,,,,,,,,,,42,,,
Google Scholar,URL,https://www.sciencedirect.com/science/article/pii/S0003999318311845,… : Development and preliminary validation of health-related quality of life measures for caregivers of civilians and service members/veterans with traumatic brain injury,"… construct a TBI caregiver might experience). At least 5 caregivers reviewed each new item as 
… Caregivers of civilians and caregivers of SMVs were represented in this cognitive interview …","NE Carlozzi, MA Kallen, R Hanks, EA Hahn… - Archives of physical …, 2019",Elsevier,,,,,https://www.sciencedirect.com/science/article/pii/S0003999318311845,,,,,Likely (PDF found),,https://www.sciencedirect.com/science/article/am/pii/S0003999318311845,,,,,,,,
